StateAbbr,PlaceName,PlaceFIPS,Population2010,ACCESS2_AdjPrev,BPHIGH_AdjPrev,CANCER_AdjPrev,CASTHMA_AdjPrev,CANCER_CrudePrev
GA,Columbus,1319000,189885,20.3,38.3,6,9.5,5.8
GA,Johns Creek,1342425,76728,10.9,26.7,6,6.8,5.5
GA,Macon,1349000,91351,25.3,44.8,5.8,11.1,5.8
GA,Roswell,1367284,88346,15.3,28.2,6.3,7.5,6.2
GA,Sandy Springs,1368516,93853,13.9,29.2,6.3,7.7,5.8
GA,Savannah,1369000,136286,20.7,41,5.7,9.9,5.3
GA,Warner Robins,1380508,66588,19.7,38.7,6,9.4,5.3
HI,Honolulu,15003,953207,10.3,30,5.1,9.6,5.5
ID,Boise City,1608830,205671,14.6,28.4,6.3,9,6
ID,Meridian,1652120,75092,14,27.7,6.3,8.9,5.8
ID,Nampa,1656260,81557,22.6,30.2,6.2,10,5.8
IL,Arlington Heights,1702154,75101,7.9,25.1,6.4,8.4,7.8
IL,Aurora,1703012,197899,18.1,30.4,5.7,9.2,4.5
IL,Bloomington,1706613,76610,9.2,28.3,6.5,9.1,6
IL,Bolingbrook,1707133,73366,12.5,30,5.7,8.9,4.7
IL,Champaign,1712385,81055,10.1,30.1,6.2,9.2,4.1
IL,Chicago,1714000,2695598,16.3,34.1,5.6,9.9,5
IL,Cicero,1714351,83891,30.7,32.8,5.2,9.4,3.8
IL,Decatur,1718823,76122,13.3,34,6.3,10.7,7.3
IL,Elgin,1723074,108188,17.7,29.5,5.9,9.1,5.1
IL,Evanston,1724582,74486,8.4,27.6,6.2,8.8,5.8
IL,Joliet,1738570,147433,15.5,31.1,6,9.7,5.2
IL,Naperville,1751622,141853,6.8,25.1,6.1,8,5.9
IL,Palatine,1757225,68557,10.6,26.4,6.2,8.4,6
IL,Peoria,1759000,115007,12.3,32.4,6.2,10.1,6.4
IL,Rockford,1765000,152871,15.9,33.4,6.2,10.5,6.7
IL,Schaumburg,1768003,74227,8.6,26,6.2,8.2,6.2
IL,Springfield,1772000,116250,10.9,31.2,6.4,10,7
IL,Waukegan,1779293,89078,23,34.9,5.5,10,4.5
IN,Bloomington,1805860,80405,11.1,29.8,6.4,10.2,3.7
IN,Carmel,1810342,79191,6.4,26.8,6.2,8.7,6.5
IN,Evansville,1822000,117429,13.6,32.8,6.2,11.3,6.6
IN,Fishers,1823278,76794,6.7,27.2,6.2,8.9,5
IN,Fort Wayne,1825000,253691,13.7,31.8,6.1,10.9,6.2
IN,Gary,1827000,80294,19.6,45.3,5.2,13,5.9
IN,Hammond,1831000,80830,20.2,35,5.7,10.6,5.5
IN,Indianapolis,1836003,820445,14.7,31,6.1,10.9,5.7
IN,Lafayette,1840788,67140,13.7,30.7,6.3,10.7,5.9
IN,Muncie,1851876,70085,14.1,35.5,6.2,11.3,5.5
IN,South Bend,1871000,101168,16.8,35.9,6,11.5,6.1
IA,Cedar Rapids,1912000,126326,7.4,28.9,6.5,8,6.6
IA,Davenport,1919000,99685,9.1,28.9,6.3,8.5,6.4
IA,Des Moines,1921000,203433,10.4,29.1,6.2,8.6,5.9
IA,Iowa City,1938595,67862,7.3,26.4,6.2,7.9,4.2
IA,Sioux City,1973335,82684,11.7,28.9,6.2,8.6,6.3
IA,Waterloo,1982425,68406,10,31.8,6.2,8.9,6.7
KS,Kansas City,2036000,145786,25.4,35.7,5.7,10.6,5.5
KS,Lawrence,2038900,87643,12.7,27.2,6.2,9.1,4.3
KS,Olathe,2052575,125872,12.3,26.9,6.1,8.7,5.2
KS,Overland Park,2053775,173372,9.9,25.4,6.2,8.3,6.5
KS,Topeka,2071000,127473,17.7,33.6,6.2,10.2,6.7
KS,Wichita,2079000,382368,18.3,31.8,6.3,9.6,6.2
KY,Lexington,2146027,295803,7.7,34.9,6.3,11.2,5.6
KY,Louisville,2148006,597337,8.5,38.6,6.5,12.3,6.7
LA,Baton Rouge,2205000,229493,16.4,40.2,5.8,9.4,5.2
LA,Kenner,2239475,66702,18.1,34.8,5.7,8.6,5.9
LA,Lafayette,2240735,120623,14.7,37,6.2,9.1,5.8
LA,Lake Charles,2241155,71993,17.3,40.9,5.9,9.7,6.2
LA,New Orleans,2255000,343829,16.2,39.3,5.6,9.3,5.2
LA,Shreveport,2270000,199311,17.4,42.1,5.9,9.8,6.1
ME,Portland,2360545,66194,11.5,28.4,6.6,11.4,6.3
MD,Baltimore,2404000,620961,12.9,39.3,5.8,12.2,5.5
MA,Boston,2507000,617594,9.7,30.2,5.7,11.3,4.5
MA,Brockton,2509000,93810,11.5,35.4,6,12.9,6
MA,Cambridge,2511000,105162,5.6,26.7,6,9.7,4.3
MA,Fall River,2523000,88857,11.3,32.7,6.6,13.1,7.1
MA,Lawrence,2534550,76377,21.8,31.3,5.2,11.3,4.4
MA,Lowell,2537000,106519,11.6,30.7,5.8,10.9,5.1
MA,Lynn,2537490,90329,13.7,29.9,5.8,11.4,5.6
MA,New Bedford,2545000,95072,13.1,33.1,6.5,13.1,7
MA,Newton,2545560,85146,4.4,23.9,6.2,9.2,7
MA,Quincy,2555745,92271,7.1,28.3,5.8,9.8,6.1
MA,Somerville,2562535,75754,6.8,27.5,6.1,10.1,4.5
MA,Springfield,2567000,153060,16.1,32.8,5.8,12.6,5.5
MA,Worcester,2582000,181045,11,31.9,6.1,11.4,5.7
MI,Ann Arbor,2603000,113934,7.8,24.6,6.3,9.3,4.6
MI,Dearborn,2621000,98153,13.3,32.1,6.9,11.6,7.2
MI,Detroit,2622000,713777,20.1,46.3,5.8,13.9,5.8
MI,Farmington Hills,2627440,79740,7.8,28.2,6.6,9.4,7.8
MI,Flint,2629000,102434,18,41.4,6,13.5,5.8
MI,Grand Rapids,2634000,188040,14.3,32.7,6.3,11,5.8
MI,Kalamazoo,2642160,74262,13,33.2,6.5,11.8,5
MI,Lansing,2646000,114297,13.8,33.4,6.3,11.7,5.6
MI,Livonia,2649000,96942,8.2,27.4,7,9.8,8.6
MI,Rochester Hills,2669035,70995,7.3,26.2,6.7,9,7.5
MI,Southfield,2674900,71739,10.8,37.3,6.1,11.4,7.3
MI,Sterling Heights,2676460,129699,10.5,30,6.7,10.6,7.5
MI,Troy,2680700,80980,7.4,26.3,6.5,8.7,7.4
MI,Warren,2684000,134056,13,32.9,6.6,11.5,7.6
MI,Westland,2686000,84094,11.8,32.1,6.8,11.1,7.3
MI,Wyoming,2688940,72125,14,30.4,6.4,10.6,5.7
MN,Bloomington,2706616,82893,8.1,24,6.1,7.8,7.4
MN,Brooklyn Park,2707966,75781,9.9,27,5.8,8.2,5
MN,Duluth,2717000,86265,8.5,25.7,6.4,8.5,6.3
MN,Minneapolis,2743000,382578,10,27.1,5.9,8.4,4.6
MN,Plymouth,2751730,70576,5.8,22.1,6.1,7.3,6.4
MN,Rochester,2754880,106769,7.7,22.6,6.4,7.9,6.5
MN,St. Paul,2758000,285068,11,26.3,5.8,8.4,5
MS,Gulfport,2829700,67793,20.1,41.1,6,9.1,5.8
MS,Jackson,2836000,173514,22,45.9,5.6,10,5.1
MO,Columbia,2915670,108500,12.5,29.9,6.4,9.4,4.6
