StateAbbr,PlaceName,PlaceFIPS,Population2010,ACCESS2_AdjPrev,BPHIGH_AdjPrev,CANCER_AdjPrev,CASTHMA_AdjPrev,CSMOKING_AdjPrev,DIABETES_AdjPrev,STROKE_AdjPrev
TN,Nashville,4752006,601222,15.4,35.2,6.1,10.4,21.5,10.8,3.4
TX,Abilene,4801000,117063,22.6,31.9,6,9.2,21.4,11.4,3.3
TX,Allen,4801924,84246,12.6,26.6,6.1,7.9,12.7,8.1,2.1
TX,Amarillo,4803000,190695,23.1,31.3,6.1,9.2,19.3,10.9,3.1
TX,Arlington,4804000,365438,22,31.1,6,9.3,18.1,11.6,3
TX,Austin,4805000,790390,19.7,27.5,5.8,8.2,14.1,10.1,2.6
TX,Baytown,4806128,71802,27.5,32.3,5.8,9,17.4,12.1,3.3
TX,Beaumont,4807000,118296,22.6,36.6,5.7,9.9,20.2,13.6,4
TX,Brownsville,4810768,175023,41.4,33.4,4.8,8.7,17.4,16.7,3.9
TX,Bryan,4810912,76201,26.2,32.4,5.9,9.4,19,11.8,3.5
TX,Carrollton,4813024,119097,20.5,29.2,5.8,8.1,15.3,9.8,2.6
TX,College Station,4815976,93857,15.7,28.8,6.2,8.4,15,9.4,2.8
TX,Corpus Christi,4817000,305215,28,32,5.4,8.5,16.7,14.1,3.1
TX,Dallas,4819000,1197816,28.1,34.8,5.6,9.3,17.7,13.2,3.8
TX,Denton,4819972,113383,18.7,30.6,6.3,8.7,17.8,9.9,2.9
TX,Edinburg,4822660,77100,35.5,31.9,4.7,7.6,14,13.6,3.2
TX,El Paso,4824000,649121,32.7,31.5,5,8.1,15.6,14.5,3.2
TX,Fort Worth,4827000,741206,24.5,32.4,5.8,9.5,18.8,13.1,3.5
TX,Frisco,4827684,116989,11.7,26,6.2,7.7,11.8,7.6,2
TX,Garland,4829000,226876,26.6,32.7,5.7,9,17.9,11.7,3.3
TX,Grand Prairie,4830464,175396,25.6,32.3,5.6,8.9,16.9,11.9,3.2
TX,Houston,4835000,2099451,28.2,33.1,5.5,8.8,16,13.4,3.6
TX,Irving,4837000,216290,24.8,31.8,5.7,8.5,15.9,11.5,3.2
TX,Killeen,4839148,127921,21,36.2,5.7,9.5,19.4,12.8,3.4
TX,Laredo,4841464,236091,41,33,4.6,8.6,16.9,16.9,3.8
TX,League City,4841980,83560,13.7,29.6,6,8.1,14.3,8.8,2.2
TX,Lewisville,4842508,95290,19.6,30,6,8.5,16.8,10,2.8
TX,Longview,4843888,80455,22.6,34,6.1,9.7,20.3,11.9,3.6
TX,Lubbock,4845000,229573,22.6,33.2,6,9.1,18.3,11.1,3.2
TX,McAllen,4845384,129877,34.4,31.1,4.8,7.7,13.8,13.2,3.2
TX,McKinney,4845744,131117,15.8,27.8,6.2,8.3,14.3,8.9,2.5
TX,Mesquite,4847892,139824,24.6,33.3,5.9,9.5,18.8,11.6,3.5
TX,Midland,4848072,111147,21.9,30.9,5.9,8.6,16.3,9.8,2.6
TX,Mission,4848768,77058,36.5,31.3,4.9,7.8,14.3,12.7,3.2
TX,Missouri City,4848804,67358,16.7,30.9,5.5,8.4,13.4,10.4,2.5
TX,Odessa,4853388,99940,27,31.7,5.7,8.8,17.8,11.6,3
TX,Pasadena,4856000,149043,32.8,30.8,5.7,8.5,16.9,12.5,3.3
TX,Pearland,4856348,91252,15.2,28.8,5.8,7.9,13.1,8.9,2.2
TX,Pharr,4857200,70400,43.3,33.8,4.8,8.3,16.5,15.2,3.8
TX,Plano,4858016,259841,14,26.6,6,7.7,12.4,8.3,2.1
TX,Richardson,4861796,99223,15.1,27.8,6,7.9,12.9,8.5,2.3
TX,Round Rock,4863500,99887,17.8,30.2,6,8.4,14.8,9.4,2.5
TX,San Angelo,4864472,93200,23.8,30.2,5.9,8.7,18.3,11.2,3
TX,San Antonio,4865000,1327407,29,30.7,5.3,8.4,15.6,13.3,3.2
TX,Sugar Land,4870808,78817,13.4,25.8,5.5,7,11.5,8.7,1.9
TX,Tyler,4874144,96900,22.4,33.6,6,9.6,19.3,12.2,3.5
TX,Waco,4876000,124805,26.2,35.1,5.8,9.9,20.8,13.4,3.9
TX,Wichita Falls,4879000,104553,20.8,33.7,5.9,9.1,22,12.4,3.3
